Week,Anger_max,Anger_med,Anger_avg,Anger_total,Sad_max,Sad_median,Sad_avg,Sad_total,Fear_max,Fear_med,Fear_avg,Fear_total,Joy_max,Joy_med,Joy_avg,Joy_total,Analy_max,Analy_med,Analy_avg,Analy_total,Confi_max,Confi_med,Confi_avg,Confi_total,Tenta_max,Tenta_med,Tenta_avg,Tenta_total
03.-01-03.-07,0.585208,0.5,0.585208,0.585208,0.576904,0.5,0.5526486666666667,1.657946,0.714274,0.5,0.6325645,1.265129,0.57711,0.5258285,0.5451211666666668,3.2707270000000004,0.717259,0.5495645,0.609236,3.6554159999999998,0.5,0.5,0.5,0.5,0.845147,0.7031385,0.7666942000000001,3.8334710000000003
03.-08-03.-14,0.5,0.5,0.5,0.5,0.605159,0.559882,0.5618654444444444,5.056788999999999,0.603693,0.5,0.603693,0.603693,0.5978319999999999,0.5115555,0.5617006,2.808503,0.863936,0.701109,0.710064,5.680512,0.5,0.5,0.5,0.5,0.803822,0.54657,0.6901109999999999,3.4505549999999996
03.-15-03.-21,0.5,0.5,0.5,0.5,0.5897060000000001,0.5476449999999999,0.553829875,4.430639,0.519403,0.5,0.5161125,1.032225,0.543089,0.5,0.5320016666666666,1.596005,0.9070239999999999,0.719986,0.7213696666666666,6.4923269999999995,0.5,0.5,0.5,0.5,0.647245,0.5,0.647245,0.647245
03.-22-03.-28,0.567915,0.5,0.567915,0.567915,0.610111,0.5787305,0.5782297777777777,5.2040679999999995,0.5,0.5,0.5,0.5,0.583763,0.5,0.5380385000000001,2.1521540000000003,0.845152,0.7267334999999999,0.7345915,5.876732,0.5,0.5,0.5,0.5,0.6985210000000001,0.5,0.6534712500000001,2.6138850000000002
03.-29-04.-04,0.5,0.5,0.5,0.5,0.580308,0.5291239999999999,0.5371395,4.297116,0.6149020000000001,0.5,0.5819953333333333,1.745986,0.556917,0.5023575,0.524389,2.621945,0.8375440000000001,0.640156,0.6763015,5.410412,0.5,0.5,0.5,0.5,0.678649,0.5,0.678649,0.678649
04.-05-04.-11,0.5,0.5,0.5,0.5,0.622276,0.5480115000000001,0.5819421666666668,3.4916530000000003,0.675958,0.5,0.6533899999999999,1.3067799999999998,0.584229,0.5,0.5570365,2.228146,0.832076,0.6419554999999999,0.6875267142857143,4.812687,0.5,0.5,0.5,0.5,0.772835,0.5,0.712843,2.851372
04.-12-04.-18,0.5,0.5,0.5,0.5,0.604564,0.5387014999999999,0.5647475714285715,3.953233,0.5,0.5,0.5,0.5,0.606707,0.5135875000000001,0.5424016666666667,3.25441,0.74715,0.6133645000000001,0.6219813,6.219812999999999,0.5,0.5,0.5,0.5,0.647228,0.5,0.647228,0.647228
04.-19-04.-25,0.5,0.5,0.5,0.5,0.634568,0.5,0.56315375,2.252615,0.624742,0.5,0.624742,0.624742,0.64135,0.5,0.5683963333333333,1.7051889999999998,0.818912,0.6615575,0.6487816666666667,5.839035,0.5,0.5,0.5,0.5,0.910438,0.5,0.6786589999999999,2.7146359999999996
04.-26-05.-02,0.5,0.5,0.5,0.5,0.678955,0.5786365,0.594025,5.940250000000001,0.572004,0.5,0.5446887499999999,2.1787549999999998,0.564553,0.5228440000000001,0.5358032857142857,3.750623,0.8233469999999999,0.6394124999999999,0.6795081249999999,5.436064999999999,0.5,0.5,0.5,0.5,0.6164930000000001,0.5,0.6164930000000001,0.6164930000000001
05.-03-05.-09,0.5,0.5,0.5,0.5,0.668636,0.5570925,0.569474,4.555792,0.515229,0.5,0.515229,0.515229,0.5267029999999999,0.5,0.51812275,2.072491,0.9220780000000001,0.7019770000000001,0.7403486666666667,6.663138,0.5,0.5,0.5,0.5,0.801309,0.6351595000000001,0.6816585714285716,4.771610000000001
05.-10-05.-16,0.6436689999999999,0.5,0.6436689999999999,0.6436689999999999,0.645207,0.5771255,0.5787994444444444,5.209194999999999,0.594474,0.5,0.5592109999999999,1.1184219999999998,0.574872,0.5,0.5499985000000001,2.1999940000000002,0.805926,0.659729,0.69128,6.22152,0.5,0.5,0.5,0.5,0.810102,0.5,0.6858345,1.371669
